Start Time,Lat ,Long,Velocity,Time,Time Offset,
19:17:53,37.4269118,-122.1727641,3.13,4.50029E+14,0,0.99999778
19:17:53,37.42691074,-122.1727267,3.79,4.5003E+14,999198277,
19:17:53,37.4269107,-122.1727266,3.79,4.5003E+14,999198277,
19:17:53,37.4270805,-122.172946,,4.50029E+14,474819555,
19:17:55,37.42691637,-122.1726866,3.91,4.50031E+14,2001428168,
19:17:55,37.4269164,-122.1726865,3.91,4.50031E+14,2001428168,
19:17:56,37.42692932,-122.1726499,3.56,4.50032E+14,3007981706,
19:17:56,37.4269293,-122.1726499,3.56,4.50032E+14,3007981706,
19:17:57,37.42699076,-122.1726339,5.43,4.50033E+14,4010906442,
19:17:57,37.4269908,-122.1726339,5.43,4.50033E+14,4010906442,
19:17:57,37.4270267,-122.1726095,4.78,4.50034E+14,4997927009,
19:17:57,37.4270267,-122.1726095,4.78,4.50034E+14,4997927009,
19:17:59,37.42706635,-122.1725845,4.79,4.50035E+14,6014584610,
19:17:59,37.4270663,-122.1725845,4.79,4.50035E+14,6014584610,
19:18:00,37.42710875,-122.1725623,5.33,4.50036E+14,7005246219,
19:18:00,37.4271088,-122.1725623,5.33,4.50036E+14,7005246219,
19:18:01,37.42715515,-122.172536,5.13,4.50037E+14,8000525954,
19:18:01,37.4271552,-122.1725359,5.13,4.50037E+14,8000525954,
19:18:02,37.42720483,-122.1725197,5.39,4.50038E+14,9010161002,
19:18:02,37.4272048,-122.1725197,5.39,4.50038E+14,9010161002,
19:18:03,37.42723326,-122.172507,5.28,4.50039E+14,10006055580,
19:18:03,37.4272333,-122.172507,5.28,4.50039E+14,10006055580,
19:18:04,37.42728056,-122.172489,5.84,4.5004E+14,11019421411,
19:18:04,37.4272806,-122.172489,5.84,4.5004E+14,11019421411,
19:18:05,37.42733517,-122.1724798,5.8,4.50041E+14,12012253228,
19:18:05,37.4273352,-122.1724798,5.8,4.50041E+14,12012253228,
19:18:06,37.4273915,-122.1724653,6.42,4.50042E+14,13006255931,
19:18:06,37.4273915,-122.1724653,6.42,4.50042E+14,13006255931,
19:18:07,37.42743213,-122.1724456,4.78,4.50043E+14,14010468792,
19:18:07,37.4274321,-122.1724456,4.78,4.50043E+14,14010468792,
19:18:08,37.42748038,-122.1724377,4.87,4.50044E+14,15000855818,
19:18:08,37.4274804,-122.1724377,4.87,4.50044E+14,15000855818,
19:18:09,37.42752748,-122.1724227,5.1,4.50045E+14,16010509408,
19:18:09,37.4275275,-122.1724227,5.1,4.50045E+14,16010509408,
19:18:10,37.42757158,-122.1724102,4.69,4.50046E+14,17004003153,
19:18:10,37.4275716,-122.1724102,4.69,4.50046E+14,17004003153,
19:18:11,37.42761455,-122.1723961,4.75,4.50047E+14,18015113826,
19:18:11,37.4276146,-122.1723961,4.75,4.50047E+14,18015113826,
19:18:12,37.42764492,-122.1723887,3.65,4.50048E+14,19003866216,
19:18:12,37.4276449,-122.1723887,3.65,4.50048E+14,19003866216,
19:18:13,37.42768477,-122.1723715,4.51,4.50049E+14,20019427099,
19:18:13,37.4276848,-122.1723715,4.51,4.50049E+14,20019427099,
19:18:14,37.4277315,-122.1723539,5.68,4.5005E+14,21010818343,
19:18:14,37.4277315,-122.1723539,5.68,4.5005E+14,21010818343,
19:18:13,37.4278303,-122.1725124,,4.50049E+14,20506819555,
